excel_row;cantidad;unidad;flag_original;clasificacion;obras_flag;item_original;descripcion_normalizada;observacion;proveedor;sistema_plano;rubro;flag_bool;55_1;55_2;55_3;55_4;notas_sugeridas;dudas;destino_preliminar
2;32;Unidades;STD;STD;;"Abrazadera inox 1""";"abrazadera inox 1""";;;Sist. Agua Fria;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua Fria;;matriz_k55
3;38;Unidades;STD;STD;;"Abrazadera inox 1½""";"abrazadera inox 1½""";;;Sist. Agua Fria;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua Fria;;matriz_k55
4;44;Unidades;STD;STD;;"Abrazadera inox 3/4""";"abrazadera inox 3/4""";;;Sist. Agua Fria;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua Fria;;matriz_k55
5;1;Unidades;STD;STD;;Adaptador tunel sternthruster 250mm;adaptador tunel sternthruster 250mm;;Flojumar;Alistamiento;Mecanica;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
6;3;Unidades;STD;STD;;Aire acondicionado 16000 BTU;aire acondicionado 16000 btu;;Flojumar;Sist. A.C.;Electricidad;False;En Barco;;;;Sistema/Plano: Sist. A.C. | Estado por obra: 55-1=En Barco;;matriz_k55
7;1;Unidades;STD;STD;;Aire acondicionado 6.000 btu;aire acondicionado 6.000 btu;;Flojumar;Sist. A.C.;Electricidad;False;En Barco;;;;Sistema/Plano: Sist. A.C. | Estado por obra: 55-1=En Barco;;matriz_k55
8;1;Unidades;STD;STD;;Anafe vitrocerámica 2 hornallas;anafe vitroceramica 2 hornallas;;;Electrodomesticos;Electricidad;False;En Chubut;Comprar;Comprar;;"Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=En Chubut; 55-2=Comprar; 55-3=Comprar";;matriz_k55
9;1;Unidades;STD;STD;;Ancla Bruce 30kg galvanizada;ancla bruce 30kg galvanizada;;Baron;Alistamiento;Carpinteria;False;Comprar;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=Comprar;;matriz_k55
10;2;Unidades;STD;STD;;Ánodo de flaps;anodo de flaps;;Flojumar;Alistamiento;Mecanica;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
11;2;Unidades;STD;STD;;"Ánodo eje 2 3/4""";"anodo eje 2 3/4""";;Flojumar;Alistamiento;Mecanica;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
12;1;Unidades;STD;STD;;Ánodo escudo PLACA 30X15;anodo escudo placa 30x15;;Flojumar;Alistamiento;Mecanica;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
13;2;Unidades;STD;STD;;Ánodo timón 95MM;anodo timon 95mm;;Flojumar;Alistamiento;Mecanica;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
14;1;Unidades;STD;STD;;Antena Starlink mini (Kit);antena starlink mini (kit);;MercadoLibre;Electrodomesticos;Electricidad;False;Comprar;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=Comprar;posible marca/variante;matriz_k55
15;2;Unidades;STD;STD;;Antena VHF + base;antena vhf + base;;Flojumar;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
16;30;Metros^2;STD;STD;;Antirruido metalizado sala maquinas;antirruido metalizado sala maquinas;;;Sist. Motor;Mecanica;False;En Barco;;;;Sistema/Plano: Sist. Motor | Estado por obra: 55-1=En Barco;;matriz_k55
17;4;Unidades;STD;STD;;Automatico Johnson pump 20A;automatico johnson pump 20a;;Flojumar;Achique;Electricidad;False;En Chubut;;;;Sistema/Plano: Achique | Estado por obra: 55-1=En Chubut;posible marca/variante;matriz_k55
18;1;Unidades;OPC;OPC;;Bacha (Camarote Marinero), modelo?? Griferia??;bacha (camarote marinero), modelo1/21/2 griferia1/21/2;;;;;True;;;;;;clasificacion OPC | sin rubro;revisar_no_matriz
19;1;Unidades;55-2;OBRA_ESPECIFICA;55-2;Bacha de cocina negra -SOLO BARCO 55-2;bacha de cocina negra -solo barco 55-2;;;Sist. Agua;Carpinteria;False;NO VA;Comprar;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Comprar";solo obra especifica;obra_especifica
20;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;Bacha en popa con mueble, cual?;bacha en popa con mueble, cual1/2;;;Sist. Agua;Sanitarios;True;Especificar;;;;Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Especificar;modelo/definicion pendiente;obra_especifica
21;1;Unidades;STD;STD;;Bacha Johnson Z52, profundidad 15cm;bacha johnson z52, profundidad 15cm;;;Sist. Agua;Carpinteria;False;En Chubut;NO VA;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=En Chubut; 55-2=NO VA";posible marca/variante;matriz_k55
22;2;Unidades;STD;STD;;Bacha Piazza A426 Blanco;bacha piazza a426 blanco;;;Sist. Agua;Carpinteria;False;En Chubut;Especificar;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=En Chubut; 55-2=Especificar";modelo/definicion pendiente;revisar_no_matriz
23;1;Unidades;STD;STD;;Baranda hueco flybridge K55;baranda hueco flybridge k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
24;1;Unidades;STD;STD;;Baranda perimetral +18 tinteros K55;baranda perimetral +18 tinteros k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
25;2;Unidades;STD;STD;;"Barra 2 1/2"" inox 316 L=1000mm";"barra 2 1/2"" inox 316 l=1000mm";;;Sist. Motor;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Motor | Estado por obra: 55-1=En Chubut;;matriz_k55
26;2;Unidades;STD;STD;;"Barra 2 3/4"" inox 316 L=3000mm";"barra 2 3/4"" inox 316 l=3000mm";;;Sist. Motor;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Motor | Estado por obra: 55-1=En Chubut;;matriz_k55
27;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;Barra de sonido LG sk1d;barra de sonido lg sk1d;;;Electrodomesticos;Electricidad;False;En Chubut;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=En Chubut;posible marca/variante;obra_especifica
28;2;Metros;STD;STD;;Barral de ropero;barral de ropero;;;Muebles;Carpinteria;False;En Chubut;Comprar;Comprar;Comprar;"Sistema/Plano: Muebles | Estado por obra: 55-1=En Chubut; 55-2=Comprar; 55-3=Comprar; 55-4=Comprar";;matriz_k55
29;1;Unidades;STD;STD;;Base mesa chica flybridge K55;base mesa chica flybridge k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
30;1;Unidades;STD;STD;;Base mesa grande flybridge K55;base mesa grande flybridge k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
31;13;Unidades;STD;STD;;Baterías 12v 180Ah;baterias 12v 180ah;;;Sist. Electrico;;True;Especificar;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=Especificar;modelo/definicion pendiente | sin rubro;revisar_no_matriz
32;20;Unidades;STD;STD;;Bisagra codo 0 + base con clip;bisagra codo 0 + base con clip;;;Muebles;Carpinteria;False;En Chubut;Comprar;Comprar;Comprar;"Sistema/Plano: Muebles | Estado por obra: 55-1=En Chubut; 55-2=Comprar; 55-3=Comprar; 55-4=Comprar";;matriz_k55
33;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;Bisagra codo 18 + base con clip;bisagra codo 18 + base con clip;;;Muebles;Carpinteria;False;En Chubut;NO VA;NO VA;NO VA;"Sistema/Plano: Muebles | Estado por obra: 55-1=En Chubut; 55-2=NO VA; 55-3=NO VA; 55-4=NO VA";;obra_especifica
34;34;Unidades;STD;STD;;Bisagra codo 9 + base con clip;bisagra codo 9 + base con clip;;;Muebles;Carpinteria;False;En Chubut;Comprar;Comprar;Comprar;"Sistema/Plano: Muebles | Estado por obra: 55-1=En Chubut; 55-2=Comprar; 55-3=Comprar; 55-4=Comprar";;matriz_k55
35;21;Unidades;STD;STD;;Bisagra oculta para puertas;bisagra oculta para puertas;;;Muebles;;False;Comprar;NO VA;;;"Sistema/Plano: Muebles | Estado por obra: 55-1=Comprar; 55-2=NO VA";sin rubro;matriz_k55
36;18;Unidades;STD;STD;;Bisagra oculta para puertas - OPCIONAL sin vestidor;bisagra oculta para puertas - opcional sin vestidor;;;Muebles;;False;NO VA;Comprar;;;"Sistema/Plano: Muebles | Estado por obra: 55-1=NO VA; 55-2=Comprar";sin rubro;matriz_k55
37;1.5;Metros;STD;STD;;Bisagra tipo piano;bisagra tipo piano;;;Muebles;Carpinteria;False;En Chubut;Comprar;Comprar;Comprar;"Sistema/Plano: Muebles | Estado por obra: 55-1=En Chubut; 55-2=Comprar; 55-3=Comprar; 55-4=Comprar";;matriz_k55
38;8;Unidades;55-2/3/4;OBRA_ESPECIFICA;55-2;Bisagras codo 9 - OPCIONAL camarote sin vestidor;bisagras codo 9 - opcional camarote sin vestidor;;;Muebles;;False;NO VA;Comprar;Comprar;Comprar;"Sistema/Plano: Muebles | Estado por obra: 55-1=NO VA; 55-2=Comprar; 55-3=Comprar; 55-4=Comprar";sin rubro;obra_especifica
