excel_row;cantidad;unidad;flag_original;clasificacion;obras_flag;item_original;descripcion_normalizada;observacion;proveedor;sistema_plano;rubro;flag_bool;55_1;55_2;55_3;55_4;notas_sugeridas;dudas;destino_preliminar
19;1;Unidades;55-2;OBRA_ESPECIFICA;55-2;Bacha de cocina negra -SOLO BARCO 55-2;bacha de cocina negra -solo barco 55-2;;;Sist. Agua;Carpinteria;False;NO VA;Comprar;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Comprar";solo obra especifica;obra_especifica
20;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;Bacha en popa con mueble, cual?;bacha en popa con mueble, cual1/2;;;Sist. Agua;Sanitarios;True;Especificar;;;;Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Especificar;modelo/definicion pendiente;obra_especifica
27;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;Barra de sonido LG sk1d;barra de sonido lg sk1d;;;Electrodomesticos;Electricidad;False;En Chubut;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=En Chubut;posible marca/variante;obra_especifica
33;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;Bisagra codo 18 + base con clip;bisagra codo 18 + base con clip;;;Muebles;Carpinteria;False;En Chubut;NO VA;NO VA;NO VA;"Sistema/Plano: Muebles | Estado por obra: 55-1=En Chubut; 55-2=NO VA; 55-3=NO VA; 55-4=NO VA";;obra_especifica
38;8;Unidades;55-2/3/4;OBRA_ESPECIFICA;55-2;Bisagras codo 9 - OPCIONAL camarote sin vestidor;bisagras codo 9 - opcional camarote sin vestidor;;;Muebles;;False;NO VA;Comprar;Comprar;Comprar;"Sistema/Plano: Muebles | Estado por obra: 55-1=NO VA; 55-2=Comprar; 55-3=Comprar; 55-4=Comprar";sin rubro;obra_especifica
47;1;Unidades;55-3/4;OBRA_ESPECIFICA;55-3;Bowthruster Sleipner side-power 160kh 12V + STERN;bowthruster sleipner side-power 160kh 12v + stern;;Trimer;Alistamiento;Electricidad;True;NO VA;NO VA;Pedido;Pedido;"Sistema/Plano: Alistamiento | Estado por obra: 55-1=NO VA; 55-2=NO VA; 55-3=Pedido; 55-4=Pedido";;obra_especifica
76;1;Unidades;55-2;OBRA_ESPECIFICA;55-2;Canilla de cocina - COLOR NEGRO;canilla de cocina - color negro;;MercadoLibre;Sist. Agua;Sanitarios;False;NO VA;Comprar;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Comprar";;obra_especifica
84;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;Cargador Victron Centaur 24v 60A de 3 salidas;cargador victron centaur 24v 60a de 3 salidas;;;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;obra_especifica
87;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Cava VONDOM T8;cava vondom t8;;;Electrodomesticos;Electricidad;False;NO VA;Comprar;;;"Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=NO VA; 55-2=Comprar";;obra_especifica
128;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;Desagues lineales ducha -SOLO BARCO 55-1;desagues lineales ducha -solo barco 55-1;;;Sist. Sanitario;;False;Pedido;NO VA;;;"Sistema/Plano: Sist. Sanitario | Estado por obra: 55-1=Pedido; 55-2=NO VA";solo obra especifica | sin rubro;obra_especifica
