excel_row;cantidad;unidad;flag_original;clasificacion;obras_flag;item_original;descripcion_normalizada;observacion;proveedor;sistema_plano;rubro;flag_bool;55_1;55_2;55_3;55_4;notas_sugeridas;dudas;destino_preliminar
14;1;Unidades;STD;STD;;Antena Starlink mini (Kit);antena starlink mini (kit);;MercadoLibre;Electrodomesticos;Electricidad;False;Comprar;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=Comprar;posible marca/variante;matriz_k55
17;4;Unidades;STD;STD;;Automatico Johnson pump 20A;automatico johnson pump 20a;;Flojumar;Achique;Electricidad;False;En Chubut;;;;Sistema/Plano: Achique | Estado por obra: 55-1=En Chubut;posible marca/variante;matriz_k55
18;1;Unidades;OPC;OPC;;Bacha (Camarote Marinero), modelo?? Griferia??;bacha (camarote marinero), modelo1/21/2 griferia1/21/2;;;;;True;;;;;;clasificacion OPC | sin rubro;revisar_no_matriz
19;1;Unidades;55-2;OBRA_ESPECIFICA;55-2;Bacha de cocina negra -SOLO BARCO 55-2;bacha de cocina negra -solo barco 55-2;;;Sist. Agua;Carpinteria;False;NO VA;Comprar;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Comprar";solo obra especifica;obra_especifica
20;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;Bacha en popa con mueble, cual?;bacha en popa con mueble, cual1/2;;;Sist. Agua;Sanitarios;True;Especificar;;;;Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Especificar;modelo/definicion pendiente;obra_especifica
21;1;Unidades;STD;STD;;Bacha Johnson Z52, profundidad 15cm;bacha johnson z52, profundidad 15cm;;;Sist. Agua;Carpinteria;False;En Chubut;NO VA;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=En Chubut; 55-2=NO VA";posible marca/variante;matriz_k55
22;2;Unidades;STD;STD;;Bacha Piazza A426 Blanco;bacha piazza a426 blanco;;;Sist. Agua;Carpinteria;False;En Chubut;Especificar;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=En Chubut; 55-2=Especificar";modelo/definicion pendiente;revisar_no_matriz
23;1;Unidades;STD;STD;;Baranda hueco flybridge K55;baranda hueco flybridge k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
24;1;Unidades;STD;STD;;Baranda perimetral +18 tinteros K55;baranda perimetral +18 tinteros k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
27;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;Barra de sonido LG sk1d;barra de sonido lg sk1d;;;Electrodomesticos;Electricidad;False;En Chubut;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=En Chubut;posible marca/variante;obra_especifica
29;1;Unidades;STD;STD;;Base mesa chica flybridge K55;base mesa chica flybridge k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
30;1;Unidades;STD;STD;;Base mesa grande flybridge K55;base mesa grande flybridge k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
31;13;Unidades;STD;STD;;Baterías 12v 180Ah;baterias 12v 180ah;;;Sist. Electrico;;True;Especificar;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=Especificar;modelo/definicion pendiente | sin rubro;revisar_no_matriz
35;21;Unidades;STD;STD;;Bisagra oculta para puertas;bisagra oculta para puertas;;;Muebles;;False;Comprar;NO VA;;;"Sistema/Plano: Muebles | Estado por obra: 55-1=Comprar; 55-2=NO VA";sin rubro;matriz_k55
36;18;Unidades;STD;STD;;Bisagra oculta para puertas - OPCIONAL sin vestidor;bisagra oculta para puertas - opcional sin vestidor;;;Muebles;;False;NO VA;Comprar;;;"Sistema/Plano: Muebles | Estado por obra: 55-1=NO VA; 55-2=Comprar";sin rubro;matriz_k55
38;8;Unidades;55-2/3/4;OBRA_ESPECIFICA;55-2;Bisagras codo 9 - OPCIONAL camarote sin vestidor;bisagras codo 9 - opcional camarote sin vestidor;;;Muebles;;False;NO VA;Comprar;Comprar;Comprar;"Sistema/Plano: Muebles | Estado por obra: 55-1=NO VA; 55-2=Comprar; 55-3=Comprar; 55-4=Comprar";sin rubro;obra_especifica
