excel_row;clasificacion;accion_sugerida;match_type;material_id_candidato;descripcion_candidato;score_candidato;item_original;cantidad_k55_excel;unidad;k37_actual;k52_actual;k55_actual;proveedor;rubro;observacion;flag_original;motivo_revision
2;STD;REUSAR_ID_Y_SET_K55;EXACTO;ac5fdea1-9bdd-4b1e-98ea-54725dcd3b3e;"Abrazadera inox 1""";1.000;"Abrazadera inox 1""";32;Unidades;10.0;0;0;;Sanitarios;;STD;
3;STD;REUSAR_ID_Y_SET_K55;EXACTO;b00cefec-d911-4619-b48e-421bfb31d246;"Abrazadera inox 1½""";1.000;"Abrazadera inox 1½""";38;Unidades;10.0;0;0;;Sanitarios;;STD;
4;STD;REUSAR_ID_Y_SET_K55;EXACTO;153b39e4-c586-41ce-a180-7deeec1416d8;"Abrazadera inox 3/4""";1.000;"Abrazadera inox 3/4""";44;Unidades;8;0;0;;Sanitarios;;STD;
6;STD;REUSAR_ID_Y_SET_K55;EXACTO;cc87231c-d12b-4c0f-8bdd-e3357aca99dd;Aire acondicionado 16000 BTU;1.000;Aire acondicionado 16000 BTU;3;Unidades;1;0;0;Flojumar;Electricidad;Frio calor platinum, con control, cable y control inalambrico;STD;
8;STD;REUSAR_ID_Y_SET_K55;EXACTO;babc7783-bbe9-46da-bebb-9952c81747fa;Anafe vitrocerámica 2 hornallas;1.000;Anafe vitrocerámica 2 hornallas;1;Unidades;1.0;0;0;;Electricidad;SAMSUNG CTR432;STD;
10;STD;REUSAR_ID_Y_SET_K55;EXACTO;e476e8a2-6556-491e-aef2-c306266d642c;Ánodo de flaps;1.000;Ánodo de flaps;2;Unidades;2.0;0;0;Flojumar;Mecanica;PERFORMANCE METAL USA;STD;
15;STD;REUSAR_ID_Y_SET_K55;EXACTO;df54fb2c-f42c-49e8-95bf-42ed3cda26a2;Antena VHF + base;1.000;Antena VHF + base;2;Unidades;1.0;0;0;Flojumar;Electricidad;SHAKESPEARE 2.4M CON BASE ACERO INOXIDABLE;STD;
16;STD;REUSAR_ID_Y_SET_K55;EXACTO;d6ea9390-4239-4aa2-9583-7e61287d5c6b;Antirruido metalizado sala maquinas;1.000;Antirruido metalizado sala maquinas;30;Metros^2;20.0;0;0;;Mecanica;;STD;
31;STD;REUSAR_ID_Y_SET_K55;EXACTO;f68590a3-750a-426d-ab91-b6d43f6b1cd6;Baterías 12v 180Ah;1.000;Baterías 12v 180Ah;13;Unidades;4;0;0;;;5 Servicio, 2 bow, 2 stern, 2 cada motor;STD;
34;STD;REUSAR_ID_Y_SET_K55;EXACTO;f60a174a-e250-4f29-b084-d7b19e4e2f12;Bisagra codo 9 + base con clip;1.000;Bisagra codo 9 + base con clip;34;Unidades;30.0;0;0;;Carpinteria;Puertas roperos;STD;
35;STD;REUSAR_ID_Y_SET_K55;EXACTO;ed03965a-9ca9-42fa-8a21-e4a13c974566;Bisagra oculta para puertas;1.000;Bisagra oculta para puertas;21;Unidades;14.0;0;0;;;7 puertas;STD;
41;STD;REUSAR_ID_Y_SET_K55;EXACTO;adc7bd8f-fe7e-4cf3-bf35-5212e176c354;Bomba achique 2000gph 12V;1.000;Bomba achique 2000gph 12V;3;Unidades;3;0;0;Flojumar;Electricidad;STD RULE, variante: Johnson pump 2200gph 12V;STD;
46;STD;REUSAR_ID_Y_SET_K55;EXACTO;fafa3d1a-adf9-4d42-bd83-85a5eaf3dffa;Botazo plástico blanco;1.000;Botazo plástico blanco;44;Metros;27.0;0;0;;;Mismo modelo que el K52;STD;
56;STD;REUSAR_ID_Y_SET_K55;EXACTO;2e7c9408-e316-47fe-b7c4-6df1b622ded5;"Buje reduc. 1"" x 3/4"" plástico";1.000;"Buje reduc. 1"" x 3/4"" plástico";2;Unidades;1;0;0;Casa Iriarte;Sanitarios;PX BUJRED1X3/4;STD;
72;STD;REUSAR_ID_Y_SET_K55;EXACTO;c757c46b-dd25-48fd-ab6f-7b885ebdb30b;Calefactor Autoterm Air 4D 12V 4000W;1.000;Calefactor Autoterm Air 4D 12V 4000W;2;Unidades;1.0;0;0;Baron;Sanitarios;(con Comando y kit instalación) Código: C89412;STD;
77;STD;REUSAR_ID_Y_SET_K55;EXACTO;aaa11322-365a-47fa-ae87-57fce52c841f;"Caño corrugado flex 1""";1.000;"Caño corrugado flex 1""";10;Metros;50.0;0;0;;Electricidad;;STD;
97;STD;REUSAR_ID_Y_SET_K55;EXACTO;3aa6b2f5-1126-47b8-8070-36f94a65735e;"Codo 90° HH bronce 1""";1.000;"Codo 90° HH bronce 1""";8;Unidades;2.0;0;0;;Sanitarios;;STD;
104;STD;REUSAR_ID_Y_SET_K55;EXACTO;fd140844-dc8e-42cd-9ac2-bba91eb60d3b;"Conector ""T"" c/espiga WHALE WX1521";1.000;"Conector ""T"" c/espiga WHALE WX1521";11;Unidades;1;0;0;;Sanitarios;ITEM WHALE;STD;
105;STD;REUSAR_ID_Y_SET_K55;EXACTO;8fc8817c-6b06-4776-82b7-1f3a432b1849;"Conector ""T"" WHALE WX1502";1.000;"Conector ""T"" WHALE WX1502";21;Unidades;7;0;0;;Sanitarios;ITEM WHALE;STD;
106;STD;REUSAR_ID_Y_SET_K55;EXACTO;d49fc5d0-5fa8-4edd-8463-2797b6bc9457;Conector Codo c/espiga WHALE WX1522;1.000;Conector Codo c/espiga WHALE WX1522;10;Unidades;1;0;0;;Sanitarios;ITEM WHALE;STD;
107;STD;REUSAR_ID_Y_SET_K55;EXACTO;1feb1b1c-b7e3-4a4f-8bf1-6aba68e400c3;Conector Codo WHALE WX1503;1.000;Conector Codo WHALE WX1503;6;Unidades;3;0;0;Trimer;Sanitarios;ITEM WHALE;STD;
116;STD;REUSAR_ID_Y_SET_K55;EXACTO;c9c72bc3-0ddf-4cba-a046-922a1a4bfb9c;Cuchara bronce Nro 104;1.000;Cuchara bronce Nro 104;3;Unidades;2.0;0;0;Casa Iriarte;Sanitarios;REJ104;STD;
121;STD;REUSAR_ID_Y_SET_K55;EXACTO;3d0da734-c4f8-47eb-af4f-34fa63f4690a;"Cupla Inoxidable 1""";1.000;"Cupla Inoxidable 1""";5;Unidades;4.0;0;0;;Mecanica;TANQUES;STD;
122;STD;REUSAR_ID_Y_SET_K55;EXACTO;8d14e4c9-52d3-434f-b91a-ae8a5eeaff0f;"Cupla Inoxidable 1/2""";1.000;"Cupla Inoxidable 1/2""";3;Unidades;7;0;0;;Mecanica;TANQUES;STD;
123;STD;REUSAR_ID_Y_SET_K55;EXACTO;83c43781-5008-4e3b-b451-d9f3a5d004ae;"Cupla Inoxidable 1/4""";1.000;"Cupla Inoxidable 1/4""";5;Unidades;4;0;0;;Mecanica;TANQUES;STD;
124;STD;REUSAR_ID_Y_SET_K55;EXACTO;7fa2f38d-bf43-4108-8213-7a961dac9df5;"Cupla Inoxidable 2""";1.000;"Cupla Inoxidable 2""";1;Unidades;2.0;0;0;;Mecanica;TANQUES;STD;
125;STD;REUSAR_ID_Y_SET_K55;EXACTO;4d48101b-51dd-471c-b036-f5545a434b5e;"Cupla Inoxidable 3/4""";1.000;"Cupla Inoxidable 3/4""";3;Unidades;3;0;0;;Mecanica;TANQUES;STD;
135;STD;REUSAR_ID_Y_SET_K55;EXACTO;a480d9c4-782b-4797-a3b1-add592ac95f0;Duchador frio calor WHALE Twist;1.000;Duchador frio calor WHALE Twist;1;Unidades;1;0;0;Flojumar;Sanitarios;Cockpit;STD;
137;STD;REUSAR_ID_Y_SET_K55;EXACTO;1cd225a8-7247-4fa4-8ac2-4de9153355ff;"Ducto p/extractor de 3""";1.000;"Ducto p/extractor de 3""";3;Unidades;2;0;0;Trimer;Electricidad;;STD;
143;STD;REUSAR_ID_Y_SET_K55;EXACTO;4c73ef69-6754-42da-83f2-9d880d03dcf2;Entrada agua potable (marina);1.000;Entrada agua potable (marina);1;Unidades;1;0;0;Baron;Sanitarios;B29029;STD;
144;STD;REUSAR_ID_Y_SET_K55;EXACTO;87ea1a83-1b17-4dbb-81bb-305a82e08bab;"Entrerrosca 1"" bronce";1.000;"Entrerrosca 1"" bronce";2;Unidades;3;0;0;Casa Iriarte;Sanitarios;C 112 1 FU;STD;
145;STD;REUSAR_ID_Y_SET_K55;EXACTO;dfedeb19-e6a9-4b89-a9df-8ce94ded5967;"Entrerrosca 1/2"" bronce";1.000;"Entrerrosca 1/2"" bronce";4;Unidades;1;0;0;Casa Iriarte;Sanitarios;C 112 1/2 FU;STD;
146;STD;REUSAR_ID_Y_SET_K55;EXACTO;7a9da0a6-4f72-4e3c-b1ee-228059aa5e7b;"Entrerrosca 1/2"" plástico";1.000;"Entrerrosca 1/2"" plastico";4;Unidades;1;0;0;Casa Iriarte;Sanitarios;PX ENTRR1/2;STD;
148;STD;REUSAR_ID_Y_SET_K55;EXACTO;7a101f2d-5197-47d8-bd9e-ff5dc4bc67c8;"Entrerrosca de reduccion 3/4"" x 1/2"" plastico";1.000;"Entrerrosca de reduccion 3/4"" x 1/2"" plastico";1;Unidades;1;0;0;Casa Iriarte;Sanitarios;FAG-FIL-MED3/4;STD;
153;STD;REUSAR_ID_Y_SET_K55;EXACTO;6864fa83-e55a-4e23-aae9-aaa77d0f8430;"Extractor Rule 3"" 12V";1.000;"Extractor Rule 3"" 12V";2;Unidades;1.0;0;0;Trimer;Electricidad;;STD;
156;STD;REUSAR_ID_Y_SET_K55;EXACTO;e3596983-974f-445d-abff-6d351c34e271;Ficha Marinco hembra 32A 220V;1.000;Ficha Marinco hembra 32A 220V;1;Unidades;1;0;0;Flojumar;Electricidad;Marinco 6360CRN;STD;
157;STD;REUSAR_ID_Y_SET_K55;EXACTO;92226c96-5ae8-4ce2-b786-d55e2a321dbe;"Filtro agua 1""";1.000;"Filtro agua 1""";1;Unidades;1.0;0;0;Casa Iriarte;Sanitarios;FAG-FIL-MED1IN;STD;
162;STD;REUSAR_ID_Y_SET_K55;EXACTO;05a333d2-d432-4be9-a62c-0e9b628345ec;Funda para ficha Marinco 32A 220V;1.000;Funda para ficha Marinco 32A 220V;1;Unidades;1;0;0;Flojumar;Electricidad;;STD;
184;STD;REUSAR_ID_Y_SET_K55;EXACTO;11088a90-8940-4d3f-a7be-1e875ad9191c;Llave corte batería remota Blue Sea;1.000;Llave corte batería remota Blue Sea;6;Unidades;1.0;0;0;Flojumar;Electricidad;Comprobar cantidad al terminar barco 1;STD;
185;STD;REUSAR_ID_Y_SET_K55;EXACTO;ac10335d-6041-4a9c-b782-c4292069f5ff;Llave de paso Whale WX1573;1.000;Llave de paso Whale WX1573;4;Unidades;1;0;0;;Sanitarios;ITEM WHALE;STD;
196;STD;REUSAR_ID_Y_SET_K55;EXACTO;c35cb2f0-17bc-46de-91a6-08af9d306709;"Manguera cristal alambre 1""";1.000;"Manguera cristal alambre 1""";65;Metros;25.0;0;0;;Sanitarios;MANGUERAS;STD;
197;STD;REUSAR_ID_Y_SET_K55;EXACTO;6a984479-40b7-4abe-8031-21a46f8cfd32;"Manguera cristal alambre 1½""";1.000;"Manguera cristal alambre 1½""";50;Metros;25.0;0;0;;Sanitarios;MANGUERAS;STD;
198;STD;REUSAR_ID_Y_SET_K55;EXACTO;ff86736f-ccad-4a7d-86ff-1a1ef264f95b;"Manguera cristal alambre 3/4""";1.000;"Manguera cristal alambre 3/4""";65;Metros;75;0;0;;Sanitarios;MANGUERAS;STD;
202;STD;REUSAR_ID_Y_SET_K55;EXACTO;2ece2c3a-6001-4f6c-9799-d866475d1cf7;Multicontrol Victron con cable (para cargador inversor);1.000;Multicontrol Victron con cable (para cargador inversor);1;Unidades;1;0;0;Flojumar;Electricidad;;STD;
214;STD;REUSAR_ID_Y_SET_K55;EXACTO;28bf764a-02c9-48bd-87be-5f6b57c022f6;Perfil aluminio tira LED;1.000;Perfil aluminio tira LED;110;Metros;2.0;0;0;MercadoLibre;;;STD;
256;STD;REUSAR_ID_Y_SET_K55;EXACTO;39a6c1ab-8840-4cd8-8943-72361d38d84c;Sapito desagote ancla;1.000;Sapito desagote ancla;2;Unidades;2.0;0;0;Baron;;;STD;
259;STD;REUSAR_ID_Y_SET_K55;EXACTO;867bb5f4-9568-4620-a03b-f151c8804c3c;"Separador agua-gases 2"" Centek 1020200 (grupo)";1.000;"Separador agua-gases 2"" Centek 1020200 (grupo)";1;Unidades;1;0;0;Trimer;Mecanica;;STD;
260;STD;REUSAR_ID_Y_SET_K55;EXACTO;f3bf7d52-a5fd-4cbb-abf1-b9f9fe627cf7;"Silenciador escape 2"" Centek 1500027w (grupo)";1.000;"Silenciador escape 2"" Centek 1500027w (grupo)";1;Unidades;1;0;0;Trimer;Mecanica;;STD;
266;STD;REUSAR_ID_Y_SET_K55;EXACTO;aea0c1ce-5d96-4c67-9aa9-5d55f3e88a80;"Sopapa bañera c/codo Delta 1½""";1.000;"Sopapa bañera c/codo Delta 1½""";7;Unidades;1.0;0;0;Casa Iriarte;Sanitarios;SOP11/2CO;STD;
269;STD;REUSAR_ID_Y_SET_K55;EXACTO;dcc4472d-67f8-4206-8dba-5f6f93f16dd7;Soporte pared TV;1.000;Soporte pared TV;2;Unidades;2.0;0;0;;Carpinteria;"Camarote PROA 32"", POPA 43""";STD;
283;STD;REUSAR_ID_Y_SET_K55;EXACTO;4ceb1c17-382c-45e6-bdb9-de56e2d54d71;"Tapa tanque agua 1 1/2"" cromada c/venteo";1.000;"Tapa tanque agua 1 1/2"" cromada c/venteo";1;Unidades;1;0;0;Flojumar;Sanitarios;FORESTI SUARDI;STD;
284;STD;REUSAR_ID_Y_SET_K55;EXACTO;e60e499b-2019-4aea-9e77-47800de07984;"Tapa tanque combustible 2"" cromada c/venteo";1.000;"Tapa tanque combustible 2"" cromada c/venteo";2;Unidades;2;0;0;Flojumar;Sanitarios;FORESTI SUARDI;STD;
292;STD;REUSAR_ID_Y_SET_K55;EXACTO;4095c16e-4b0f-4924-92ad-067b49548242;Tira LED blanco cálido;1.000;Tira LED blanco cálido;110;Metros;14.0;0;0;MercadoLibre;Electricidad;Tira de LED COB blanco cálido (2700K, +500 LED/m);STD;
295;STD;REUSAR_ID_Y_SET_K55;EXACTO;ea15a6a2-1a99-44c3-9b1e-873c08f9b4b0;"Toma pasacasco 1 1/2"" bronce";1.000;"Toma pasacasco 1 1/2"" bronce";6;Unidades;1;0;0;Casa Iriarte;Sanitarios;TO11/2C;STD;
296;STD;REUSAR_ID_Y_SET_K55;EXACTO;0d3ba5ed-e6e9-41f5-938a-77a20437cad0;"Toma pasacasco 1"" bronce";1.000;"Toma pasacasco 1"" bronce";9;Unidades;1.0;0;0;Casa Iriarte;Sanitarios;"TO1""C";STD;
297;STD;REUSAR_ID_Y_SET_K55;EXACTO;4b5668ec-7f50-4c9d-9893-6e729e249c9a;"Toma pasacasco 3/4"" bronce";1.000;"Toma pasacasco 3/4"" bronce";6;Unidades;1;0;0;Casa Iriarte;Sanitarios;TO3/4C;STD;
303;STD;REUSAR_ID_Y_SET_K55;EXACTO;9d2ca04f-b2e5-40a2-be53-7803a385c77e;Tubo Whale azul 15mm WX7152;1.000;Tubo Whale azul 15mm WX7152;60;Metros;25.0;0;0;;Sanitarios;ITEM WHALE;STD;
304;STD;REUSAR_ID_Y_SET_K55;EXACTO;55c25202-8972-4106-a9db-fccff744e4a6;Tubo Whale rojo 15mm WX7154;1.000;Tubo Whale rojo 15mm WX7154;50;Metros;25.0;0;0;;Sanitarios;ITEM WHALE;STD;
313;STD;REUSAR_ID_Y_SET_K55;EXACTO;892278e1-53d9-45f0-959d-939ebeccd36c;"Union rosca M 1/2"" WHALE WX1514";1.000;"Union rosca M 1/2"" WHALE WX1514";19;Unidades;1;0;0;;Sanitarios;ITEM WHALE;STD;
320;STD;REUSAR_ID_Y_SET_K55;EXACTO;f750313f-4ad7-48a6-98e7-da5609999787;"Válvula esférica 1"" HH";1.000;"Válvula esférica 1"" HH";1;Unidades;3.0;0;0;Casa Iriarte;Sanitarios;VAE1J;STD;
321;STD;REUSAR_ID_Y_SET_K55;EXACTO;57ebb90c-239a-4bc1-b945-69f63dd9eda8;"Válvula esférica 1/2"" HH";1.000;"Válvula esférica 1/2"" HH";9;Unidades;5.0;0;0;Casa Iriarte;Sanitarios;VAE1/2J;STD;
