excel_row;clasificacion;accion_sugerida;match_type;material_id_candidato;descripcion_candidato;score_candidato;item_original;cantidad_k55_excel;unidad;k37_actual;k52_actual;k55_actual;proveedor;rubro;observacion;flag_original;motivo_revision
7;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;cc87231c-d12b-4c0f-8bdd-e3357aca99dd;Aire acondicionado 16000 BTU;0.600;Aire acondicionado 6.000 btu;1;Unidades;1;0;0;Flojumar;Electricidad;Frio calor platinum, con control, cable y control inalambrico;STD;match difuso: no fusionar automatico
13;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;29687db1-d64d-4f74-bd3c-fb8a51af0a57;Ánodo timón;0.667;Ánodo timón 95MM;2;Unidades;2.0;0;0;Flojumar;Mecanica;PERFORMANCE METAL USA;STD;match difuso: no fusionar automatico
32;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;f60a174a-e250-4f29-b084-d7b19e4e2f12;Bisagra codo 9 + base con clip;1.000;Bisagra codo 0 + base con clip;20;Unidades;30.0;0;0;;Carpinteria;Puertas alacenas;STD;match difuso: no fusionar automatico
42;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;adc7bd8f-fe7e-4cf3-bf35-5212e176c354;Bomba achique 2000gph 12V;0.600;Bomba achique 4000gph 12V;1;Unidades;3;0;0;Flojumar;Electricidad;Achique sala maquinas;STD;match difuso: no fusionar automatico
53;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;2e7c9408-e316-47fe-b7c4-6df1b622ded5;"Buje reduc. 1"" x 3/4"" plástico";0.667;"Buje reduc. 1 1/2"" x 1"" plástico";1;Unidades;1;0;0;Casa Iriarte;Sanitarios;C 110 11/2 X 1 F;STD;match difuso: no fusionar automatico
54;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;4aef4b86-f087-43cd-8f72-308ac001d785;"Buje reduc. 3/4"" x 1/2""";0.800;"Buje reduc. 1 1/2"" x 3/4"" plástico";2;Unidades;1;0;0;Casa Iriarte;Sanitarios;C 110 11/2 X 3/4;STD;match difuso: no fusionar automatico
55;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;820c4e00-a66d-4bb4-a1d6-08bbdecf60e4;"Buje reduc. 1 1/4"" x 1""";0.800;"Buje reduc. 1 1/4"" x 1"" plástico";4;Unidades;1;0;0;Casa Iriarte;Sanitarios;PX BUJRED11/4>;STD;match difuso: no fusionar automatico
57;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;4aef4b86-f087-43cd-8f72-308ac001d785;"Buje reduc. 3/4"" x 1/2""";0.800;"Buje reduc. 3/4"" x 1/2"" plástico";2;Unidades;1;0;0;Casa Iriarte;Sanitarios;C 110 3/4 X 1/2;STD;match difuso: no fusionar automatico
67;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;15b642f0-2b8f-486e-9b8b-0eee0657ed50;Cadena 6mm calibrada galvanizada;0.600;Cadena 10mm calibrada galvanizada;50;Metros;50.0;0;0;Flojumar;Mecanica;Fondeo;STD;match difuso: no fusionar automatico
88;VAR;NO_MATRIZ;PROBABLE;08577a6f-ef38-4996-a467-e8e70ed802b2;Cerraduras de puertas;0.600;Cerraduras de puertas BRONZEN (K55);7;Unidades;4;0;0;;;https://www.mercadolibre.com.ar/cerradura-magnetica-puerta-placa-acero-inoxidable-iman-color-zincada/p/MLA56662348;VAR;match difuso: no fusionar automatico | clasificacion VAR: no matriz base
