excel_row;clasificacion;accion_sugerida;match_type;material_id_candidato;descripcion_candidato;score_candidato;item_original;cantidad_k55_excel;unidad;k37_actual;k52_actual;k55_actual;proveedor;rubro;observacion;flag_original;motivo_revision
5;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Adaptador tunel sternthruster 250mm;1;Unidades;;;;Flojumar;Mecanica;;STD;
9;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Ancla Bruce 30kg galvanizada;1;Unidades;;;;Baron;Carpinteria;;STD;
11;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Ánodo eje 2 3/4""";2;Unidades;;;;Flojumar;Mecanica;PERFORMANCE METAL USA;STD;
12;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Ánodo escudo PLACA 30X15;1;Unidades;;;;Flojumar;Mecanica;PERFORMANCE METAL USA;STD;
14;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Antena Starlink mini (Kit);1;Unidades;;;;MercadoLibre;Electricidad;https://www.mercadolibre.com.ar/kit-de-internet-via-satelite-starlink-mini-blanco/p/MLA40656539?pdp_filters=shipping:fulfillment#intervention_type=full&position=1&search_layout=grid&type=cart_intervention&tracking_id=1b74b38a-9d24-4561-abcc-a33a89df7c66;STD;
17;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Automatico Johnson pump 20A;4;Unidades;;;;Flojumar;Electricidad;BOMBAS DE ACHIQUE;STD;
21;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Bacha Johnson Z52, profundidad 15cm;1;Unidades;;;;;Carpinteria;PROFUNDIDAD 15cm, con sopapa, para cocina;STD;
22;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Bacha Piazza A426 Blanco;2;Unidades;;;;;Carpinteria;Baños proa y popa;STD;
23;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Baranda hueco flybridge K55;1;Unidades;;;;Maxi Herrero;;;STD;
24;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Baranda perimetral +18 tinteros K55;1;Unidades;;;;Maxi Herrero;;;STD;
