excel_row;clasificacion;accion_sugerida;match_type;material_id_candidato;descripcion_candidato;score_candidato;item_original;cantidad_k55_excel;unidad;k37_actual;k52_actual;k55_actual;proveedor;rubro;observacion;flag_original;motivo_revision;loose_score;loose_candidate_id;loose_candidate_desc
2;STD;REUSAR_ID_Y_SET_K55;EXACTO;ac5fdea1-9bdd-4b1e-98ea-54725dcd3b3e;"Abrazadera inox 1""";1.000;"Abrazadera inox 1""";32;Unidades;10.0;0;0;;Sanitarios;;STD;;;;
3;STD;REUSAR_ID_Y_SET_K55;EXACTO;b00cefec-d911-4619-b48e-421bfb31d246;"Abrazadera inox 1½""";1.000;"Abrazadera inox 1½""";38;Unidades;10.0;0;0;;Sanitarios;;STD;;;;
4;STD;REUSAR_ID_Y_SET_K55;EXACTO;153b39e4-c586-41ce-a180-7deeec1416d8;"Abrazadera inox 3/4""";1.000;"Abrazadera inox 3/4""";44;Unidades;8;0;0;;Sanitarios;;STD;;;;
5;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Adaptador tunel sternthruster 250mm;1;Unidades;;;;Flojumar;Mecanica;;STD;;0.143;38d5461f-ce2e-4cd5-bcf0-eb1a23c60df5;"Adaptador rosca H 1/2"" WX1532"
6;STD;REUSAR_ID_Y_SET_K55;EXACTO;cc87231c-d12b-4c0f-8bdd-e3357aca99dd;Aire acondicionado 16000 BTU;1.000;Aire acondicionado 16000 BTU;3;Unidades;1;0;0;Flojumar;Electricidad;Frio calor platinum, con control, cable y control inalambrico;STD;;;;
8;STD;REUSAR_ID_Y_SET_K55;EXACTO;babc7783-bbe9-46da-bebb-9952c81747fa;Anafe vitrocerámica 2 hornallas;1.000;Anafe vitrocerámica 2 hornallas;1;Unidades;1.0;0;0;;Electricidad;SAMSUNG CTR432;STD;;;;
9;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Ancla Bruce 30kg galvanizada;1;Unidades;;;;Baron;Carpinteria;;STD;;0.333;66668366-425c-4ed9-b3d2-31a7fa122a3c;Ancla Delta 16kg galvanizada
10;STD;REUSAR_ID_Y_SET_K55;EXACTO;e476e8a2-6556-491e-aef2-c306266d642c;Ánodo de flaps;1.000;Ánodo de flaps;2;Unidades;2.0;0;0;Flojumar;Mecanica;PERFORMANCE METAL USA;STD;;;;
14;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Antena Starlink mini (Kit);1;Unidades;;;;MercadoLibre;Electricidad;https://www.mercadolibre.com.ar/kit-de-internet-via-satelite-starlink-mini-blanco/p/MLA40656539?pdp_filters=shipping:fulfillment#intervention_type=full&position=1&search_layout=grid&type=cart_intervention&tracking_id=1b74b38a-9d24-4561-abcc-a33a89df7c66;STD;;0.200;582cd69a-2c47-4d6b-9773-5b049bf2be41;Antena TV
15;STD;REUSAR_ID_Y_SET_K55;EXACTO;df54fb2c-f42c-49e8-95bf-42ed3cda26a2;Antena VHF + base;1.000;Antena VHF + base;2;Unidades;1.0;0;0;Flojumar;Electricidad;SHAKESPEARE 2.4M CON BASE ACERO INOXIDABLE;STD;;;;
16;STD;REUSAR_ID_Y_SET_K55;EXACTO;d6ea9390-4239-4aa2-9583-7e61287d5c6b;Antirruido metalizado sala maquinas;1.000;Antirruido metalizado sala maquinas;30;Metros^2;20.0;0;0;;Mecanica;;STD;;;;
17;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Automatico Johnson pump 20A;4;Unidades;;;;Flojumar;Electricidad;BOMBAS DE ACHIQUE;STD;;0.143;9f04de6f-b777-41f0-8876-40e62510d848;Switch automático Rule 35A
21;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Bacha Johnson Z52, profundidad 15cm;1;Unidades;;;;;Carpinteria;PROFUNDIDAD 15cm, con sopapa, para cocina;STD;;0.000;;
22;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Bacha Piazza A426 Blanco;2;Unidades;;;;;Carpinteria;Baños proa y popa;STD;;0.200;fafa3d1a-adf9-4d42-bd83-85a5eaf3dffa;Botazo plástico blanco
23;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Baranda hueco flybridge K55;1;Unidades;;;;Maxi Herrero;;;STD;;0.000;;
24;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Baranda perimetral +18 tinteros K55;1;Unidades;;;;Maxi Herrero;;;STD;;0.100;0da15e33-7a69-48aa-838b-1bf72a7630d2;Bisagra codo 18 + base con clip
28;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Barral de ropero;2;Metros;;;;;Carpinteria;Vestidor y camarote proa;STD;;0.200;e476e8a2-6556-491e-aef2-c306266d642c;Ánodo de flaps
29;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Base mesa chica flybridge K55;1;Unidades;;;;Maxi Herrero;;;STD;;0.143;df54fb2c-f42c-49e8-95bf-42ed3cda26a2;Antena VHF + base
30;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Base mesa grande flybridge K55;1;Unidades;;;;Maxi Herrero;;;STD;;0.143;df54fb2c-f42c-49e8-95bf-42ed3cda26a2;Antena VHF + base
31;STD;REUSAR_ID_Y_SET_K55;EXACTO;f68590a3-750a-426d-ab91-b6d43f6b1cd6;Baterías 12v 180Ah;1.000;Baterías 12v 180Ah;13;Unidades;4;0;0;;;5 Servicio, 2 bow, 2 stern, 2 cada motor;STD;;;;
34;STD;REUSAR_ID_Y_SET_K55;EXACTO;f60a174a-e250-4f29-b084-d7b19e4e2f12;Bisagra codo 9 + base con clip;1.000;Bisagra codo 9 + base con clip;34;Unidades;30.0;0;0;;Carpinteria;Puertas roperos;STD;;;;
35;STD;REUSAR_ID_Y_SET_K55;EXACTO;ed03965a-9ca9-42fa-8a21-e4a13c974566;Bisagra oculta para puertas;1.000;Bisagra oculta para puertas;21;Unidades;14.0;0;0;;;7 puertas;STD;;;;
37;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Bisagra tipo piano;1.5;Metros;;;;;Carpinteria;Muebles babor salon, estribor camarote popa;STD;;0.167;bc5d7304-e8b4-46af-b558-4ff39d0cea03;Bisagra chica perno arriba
39;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Bitas K55;8;Unidades;;;;Maxi Herrero;Carpinteria;2 en planchada y 2 en pasamanos 4 cruzadas y lineales;STD;;0.000;;
40;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Bocina Marinco doble INOX electrica 12v;1;Unidades;;;;Flojumar;Electricidad;;STD;;0.143;b00cefec-d911-4619-b48e-421bfb31d246;"Abrazadera inox 1½"""
41;STD;REUSAR_ID_Y_SET_K55;EXACTO;adc7bd8f-fe7e-4cf3-bf35-5212e176c354;Bomba achique 2000gph 12V;1.000;Bomba achique 2000gph 12V;3;Unidades;3;0;0;Flojumar;Electricidad;STD RULE, variante: Johnson pump 2200gph 12V;STD;;;;
43;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Bomba aire acondicionado 220v 500gph;4;Unidades;;;;Flojumar;Electricidad;Koolair pump PM 500-230;STD;;0.286;cc87231c-d12b-4c0f-8bdd-e3357aca99dd;Aire acondicionado 16000 BTU
44;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Bomba dual 10.4gpm 12v johnson pump;1;Unidades;;;;Flojumar;Electricidad;Presurizadora de agua potable;STD;;0.222;adc7bd8f-fe7e-4cf3-bf35-5212e176c354;Bomba achique 2000gph 12V
46;STD;REUSAR_ID_Y_SET_K55;EXACTO;fafa3d1a-adf9-4d42-bd83-85a5eaf3dffa;Botazo plástico blanco;1.000;Botazo plástico blanco;44;Metros;27.0;0;0;;;Mismo modelo que el K52;STD;;;;
49;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Brida cuadrada inox 316, medidas 300 mm interior x 400 mm exterior, espesor = 1/4""";2;Unidades;;;;;Mecanica;TANQUES;STD;;0.214;53668ce1-598d-4cdf-a782-8ce25bc061fc;"Barra 2 1/4"" inox 316 L=2600mm"
50;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Brida de 100 mm interior x 160 mm exterior x 3/8. Inox 316;2;Unidades;;;;;Mecanica;;STD;;0.231;f5baef75-d71b-4fae-a5f3-b4136d8daeeb;Chapa de 2mm Inox. 316 ( x 1,5m)
51;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Brida de 85 mm interior x 160 mm exterior x 3/8"". Inox 316";2;Unidades;;;;;Mecanica;;STD;;0.267;1be5810e-0c5c-4f85-902b-b45d51ff8ebb;"Brida 120mm ext x 50mm int, chapa 3/8"" inox 316"
52;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Bridas inox + bocina mecanizada y perforada;2;Unidades;;;;Flojumar;Mecanica;;STD;;0.167;b00cefec-d911-4619-b48e-421bfb31d246;"Abrazadera inox 1½"""
56;STD;REUSAR_ID_Y_SET_K55;EXACTO;2e7c9408-e316-47fe-b7c4-6df1b622ded5;"Buje reduc. 1"" x 3/4"" plástico";1.000;"Buje reduc. 1"" x 3/4"" plástico";2;Unidades;1;0;0;Casa Iriarte;Sanitarios;PX BUJRED1X3/4;STD;;;;
60;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Cable tipo Marinco 3x10mm;12;Metros;;;;Flojumar;Electricidad;;STD;;0.333;646c447a-7c65-4ea4-9adf-1129cb7db021;Cable tipo taller 3x6
62;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Cableado A salon K55;1;Unidades;;;;;Electricidad;Merniez;STD;;0.143;8c467e9e-1eda-4351-9d85-67b3a0e01bfc;Acrílico mesa de salón 5mm
63;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Cableado B camarote principal K55;1;Unidades;;;;;Electricidad;Merniez;STD;;0.000;;
64;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Cableado C cocina K55;1;Unidades;;;;;Electricidad;Merniez;STD;;0.143;1dd21b67-9e5d-4297-99b8-2cd41c931852;Monocomando cocina FV Arizona alto
65;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Cableado D camarote de proa K55;1;Unidades;;;;;Electricidad;Merniez;STD;;0.143;e476e8a2-6556-491e-aef2-c306266d642c;Ánodo de flaps
66;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Cabos 18mm x 12m negro;4;Unidades;;;;;;Amarre;STD;;0.333;64e5a7dc-470c-4a38-b31d-c75aa15d0612;Cabos 14mm x 10m negro
69;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Caja paso Roker Pr1005;1;Unidades;;;;;Electricidad;162x212x81mm;STD;;0.167;57943495-9c5a-48db-a1fe-45a5feb4e1a1;Caja para batería
70;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Caja paso Roker Pr1010/106;4;Unidades;;;;;Electricidad;300x230x106mm;STD;;0.167;57943495-9c5a-48db-a1fe-45a5feb4e1a1;Caja para batería
71;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Cajas exteriores cambre;3;Unidades;;;;;Electricidad;;STD;;0.000;;
72;STD;REUSAR_ID_Y_SET_K55;EXACTO;c757c46b-dd25-48fd-ab6f-7b885ebdb30b;Calefactor Autoterm Air 4D 12V 4000W;1.000;Calefactor Autoterm Air 4D 12V 4000W;2;Unidades;1.0;0;0;Baron;Sanitarios;(con Comando y kit instalación) Código: C89412;STD;;;;
73;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Cañeria termofusion 1""";56;Metros;;;;;Sanitarios;TERMOFUSION;STD;;0.250;cc468b9f-0850-4a78-b045-081ed215460c;"Racor 1"""
74;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Canilla de bacha flybridge;1;Unidades;;;;Baron;;Código: C34856;STD;;0.167;e476e8a2-6556-491e-aef2-c306266d642c;Ánodo de flaps
75;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Canilla de cocina;1;Unidades;;;;MercadoLibre;Sanitarios;https://fvsa.com/productos/0412-96p-augusta-profesional-juego-monocomando-para-mesada-de-cocina/;STD;;0.200;e476e8a2-6556-491e-aef2-c306266d642c;Ánodo de flaps
77;STD;REUSAR_ID_Y_SET_K55;EXACTO;aaa11322-365a-47fa-ae87-57fce52c841f;"Caño corrugado flex 1""";1.000;"Caño corrugado flex 1""";10;Metros;50.0;0;0;;Electricidad;;STD;;;;
78;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Caño D. exterior = 90 mm, e = 4 mm, L = 1100 mm. Inox 316;1;Unidades;;;;;Mecanica;;STD;;0.333;3c73ea17-fec8-46c4-8151-4c58d6d0c8a7;Caño 127 x 2mm inox 316
81;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"CAÑO POLIAMIDA REFORZADO DE 1/4""";2;Unidades;;;;Casa Iriarte;Sanitarios;M PA6SP1/4;STD;;0.286;e6ecd8f3-e5e8-4ed0-8bdc-edaae7b1819d;"Arandela de Inox. 1/4"""
85;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Catalina de fondeo K55;1;Unidades;;;;Maxi Herrero;;;STD;;0.167;e476e8a2-6556-491e-aef2-c306266d642c;Ánodo de flaps
86;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;CAVA 8 BOTELLAS PHILCO - PHCAV08N2;1;Unidades;;;;;Electricidad;https://www.philco.com.ar/products/cavas/94PHCAV08N2?srsltid=AfmBOoplwU3k_1q1kg7FczB9AeICWNUXnRLehyzwn8GPbZH1MsdEn-hw;STD;;0.000;;
90;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Cerramiento completo (Lona);1;Unidades;;;;;;;STD;;0.200;f03602e2-8008-4351-bd6a-159fc27db479;Parabrisas completo (3 partes)
92;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Chapa de proa K55;1;Unidades;;;;Maxi Herrero;;;STD;;0.286;99198f93-2d81-4b57-be50-27c609a19b0c;Chapa de roble tinte rayado
93;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Chapas de inox 316 de 2 x 1,25 m, espesor = 2 mm;2;Unidades;;;;;Mecanica;TANQUES;STD;;0.300;f5baef75-d71b-4fae-a5f3-b4136d8daeeb;Chapa de 2mm Inox. 316 ( x 1,5m)
94;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Chapas de inox 316 de 2 x 1,25 m, espesor = 3 mm;2;Unidades;;;;;Mecanica;TANQUES;STD;;0.300;f5baef75-d71b-4fae-a5f3-b4136d8daeeb;Chapa de 2mm Inox. 316 ( x 1,5m)
95;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Chapas de inox 316 de 3 x 1,5 m, espesor = 3 mm;5;Unidades;;;;;Mecanica;TANQUES;STD;;0.333;f5baef75-d71b-4fae-a5f3-b4136d8daeeb;Chapa de 2mm Inox. 316 ( x 1,5m)
96;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Chapas inox 316 de 400 x 400 mm, espesor = 1/4""";2;Unidades;;;;;Mecanica;TANQUES;STD;;0.333;e6ecd8f3-e5e8-4ed0-8bdc-edaae7b1819d;"Arandela de Inox. 1/4"""
97;STD;REUSAR_ID_Y_SET_K55;EXACTO;3aa6b2f5-1126-47b8-8070-36f94a65735e;"Codo 90° HH bronce 1""";1.000;"Codo 90° HH bronce 1""";8;Unidades;2.0;0;0;;Sanitarios;;STD;;;;
103;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Compas magnético reglamentario (negro);2;Unidades;;;;;;https://www.baron.com.ar/articulo/ritchie-s-53-negro/c13666;STD;;0.200;36cd4250-24a4-49dd-bfb6-7d05db5bc366;Gelcoat Negro
104;STD;REUSAR_ID_Y_SET_K55;EXACTO;fd140844-dc8e-42cd-9ac2-bba91eb60d3b;"Conector ""T"" c/espiga WHALE WX1521";1.000;"Conector ""T"" c/espiga WHALE WX1521";11;Unidades;1;0;0;;Sanitarios;ITEM WHALE;STD;;;;
105;STD;REUSAR_ID_Y_SET_K55;EXACTO;8fc8817c-6b06-4776-82b7-1f3a432b1849;"Conector ""T"" WHALE WX1502";1.000;"Conector ""T"" WHALE WX1502";21;Unidades;7;0;0;;Sanitarios;ITEM WHALE;STD;;;;
106;STD;REUSAR_ID_Y_SET_K55;EXACTO;d49fc5d0-5fa8-4edd-8463-2797b6bc9457;Conector Codo c/espiga WHALE WX1522;1.000;Conector Codo c/espiga WHALE WX1522;10;Unidades;1;0;0;;Sanitarios;ITEM WHALE;STD;;;;
107;STD;REUSAR_ID_Y_SET_K55;EXACTO;1feb1b1c-b7e3-4a4f-8bf1-6aba68e400c3;Conector Codo WHALE WX1503;1.000;Conector Codo WHALE WX1503;6;Unidades;3;0;0;Trimer;Sanitarios;ITEM WHALE;STD;;;;
108;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Conector rosca H termofusion 1""";6;Unidades;;;;;Sanitarios;TERMOFUSION;STD;;0.250;8b3bd84c-e81d-403b-be33-7e946072ca85;"Codo 90º rosca H 1 1/4"" espiga 1"""
111;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Guía telescóp. cierre suave 20cm;2;Unidades;;;;;Carpinteria;;STD;;0.286;67304fb1-ba7d-4c51-ac04-e20c8cda9a10;Guía telescóp. push 25cm
113;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Guía telescóp. cierre suave 40cm;6;Unidades;;;;;Carpinteria;;STD;;0.286;67304fb1-ba7d-4c51-ac04-e20c8cda9a10;Guía telescóp. push 25cm
115;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Corredera ocultas Bronzen LARGO 500mm;1;Unidades;;;;;Carpinteria;https://www.mercadolibre.com.ar/sistema-corredera-pocket-door-mueble-oculto-500mm-par-color-negro/p/MLA48512423#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=3&type=product&tracking_id=fab1bd4e-5ba8-450b-89e1-d5f2ab5188d3&wid=MLA2055674764&sid=search;STD;;0.143;f5a9a8b7-1cc5-4801-a342-bfa1dc49b6b1;Grillete largo 6mm
116;STD;REUSAR_ID_Y_SET_K55;EXACTO;c9c72bc3-0ddf-4cba-a046-922a1a4bfb9c;Cuchara bronce Nro 104;1.000;Cuchara bronce Nro 104;3;Unidades;2.0;0;0;Casa Iriarte;Sanitarios;REJ104;STD;;;;
121;STD;REUSAR_ID_Y_SET_K55;EXACTO;3d0da734-c4f8-47eb-af4f-34fa63f4690a;"Cupla Inoxidable 1""";1.000;"Cupla Inoxidable 1""";5;Unidades;4.0;0;0;;Mecanica;TANQUES;STD;;;;
122;STD;REUSAR_ID_Y_SET_K55;EXACTO;8d14e4c9-52d3-434f-b91a-ae8a5eeaff0f;"Cupla Inoxidable 1/2""";1.000;"Cupla Inoxidable 1/2""";3;Unidades;7;0;0;;Mecanica;TANQUES;STD;;;;
123;STD;REUSAR_ID_Y_SET_K55;EXACTO;83c43781-5008-4e3b-b451-d9f3a5d004ae;"Cupla Inoxidable 1/4""";1.000;"Cupla Inoxidable 1/4""";5;Unidades;4;0;0;;Mecanica;TANQUES;STD;;;;
124;STD;REUSAR_ID_Y_SET_K55;EXACTO;7fa2f38d-bf43-4108-8213-7a961dac9df5;"Cupla Inoxidable 2""";1.000;"Cupla Inoxidable 2""";1;Unidades;2.0;0;0;;Mecanica;TANQUES;STD;;;;
125;STD;REUSAR_ID_Y_SET_K55;EXACTO;4d48101b-51dd-471c-b036-f5545a434b5e;"Cupla Inoxidable 3/4""";1.000;"Cupla Inoxidable 3/4""";3;Unidades;3;0;0;;Mecanica;TANQUES;STD;;;;
129;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Destorcedor tipo ""gusano"" INOX p/cadena 10-12mm";1;Unidades;;;;Flojumar;Mecanica;;STD;;0.167;33c0fd9a-947e-4005-8fcb-3dc10673b0a3;"Caño s costura inox Sch.10, 2"" nominal"
130;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Direccion electro asistida twin disk;1;Unidades;;;;;Electricidad;;STD;;0.125;82ec6127-cda1-46be-bfaf-c15b25405644;Bomba de dirección UP28F
