excel_row;clasificacion;obra;descripcion;cantidad;tipo;estado_excel;proveedor;rubro;obs;catalog_exact_id;catalog_best_score;catalog_best_desc;addon_best_score;addon_best_desc;accion_addon;accion_catalogo
19;OBRA_ESPECIFICA;55-2;Bacha de cocina negra -SOLO BARCO 55-2;1;adicional;Comprar;;Carpinteria;;;0.408;Canilla de cocina;0.734;Bacha de cocina negra;INSERTAR_ADDON;CREAR_CATALOGO
33;OBRA_ESPECIFICA;55-1;Bisagra codo 18 + base con clip;2;adicional;En Chubut;;Carpinteria;;0da15e33-7a69-48aa-838b-1bf72a7630d2;;;0.430;Bisagras codo 18;INSERTAR_ADDON;EXISTE_CATALOGO
47;OBRA_ESPECIFICA;55-3;Bowthruster Sleipner side-power 160kh 12V + STERN;1;adicional;Pedido;Trimer;Electricidad;;;0.222;Bowthruster 55-12V 55Kg;;;INSERTAR_ADDON;CREAR_CATALOGO
47;OBRA_ESPECIFICA;55-4;Bowthruster Sleipner side-power 160kh 12V + STERN;1;adicional;Pedido;Trimer;Electricidad;;;0.222;Bowthruster 55-12V 55Kg;;;INSERTAR_ADDON;CREAR_CATALOGO
59;OPC;55-1;Cable alargue Quick 12 metros;4;opcional;En Chubut;Flojumar;Electricidad;;;0.172;Joystick doble Quick italy;;;INSERTAR_ADDON;CREAR_CATALOGO
61;OPC;55-1;Cable y derivacion 2 estaciones Quick;2;opcional;En Chubut;Flojumar;Electricidad;;;0.184;Joystick doble Quick italy;;;INSERTAR_ADDON;CREAR_CATALOGO
76;OBRA_ESPECIFICA;55-2;Canilla de cocina - COLOR NEGRO;1;adicional;Comprar;MercadoLibre;Sanitarios;;;0.752;Canilla de cocina;0.367;Bacha de cocina negra;INSERTAR_ADDON;CREAR_CATALOGO
84;OBRA_ESPECIFICA;55-1;Cargador Victron Centaur 24v 60A de 3 salidas;1;adicional;En Chubut;;Electricidad;;;0.239;Victron, combinador de baterias cyrix-ct;0.132;"VALVULA DE DESVIO ""Y"" MATROMARINE ITALIANA";INSERTAR_ADDON;CREAR_CATALOGO
88;VAR;55-1;Cerraduras de puertas BRONZEN (K55);7;variante;Comprar;;;;;0.752;Cerraduras de puertas;0.145;"VALVULA DE DESVIO ""Y"" MATROMARINE ITALIANA";INSERTAR_ADDON;CREAR_CATALOGO
89;VAR;55-2;Cerraduras de puertas BRONZEN (K55) - OPCIONAL sin vestidor;6;opcional;Comprar;;;;;0.613;Cerraduras de puertas;0.273;Bisagras codo 9 - OPCIONAL camarote sin vestidor;INSERTAR_ADDON;CREAR_CATALOGO
109;VAR;55-1;Control con indicador segunda estacion Lenco;1;variante;En Chubut;Flojumar;Electricidad;;;0.138;Bisagra codo 0 + base con clip;0.204;VHF con AIS;INSERTAR_ADDON;CREAR_CATALOGO
110;VAR;55-1;Control faro segunda estacion Marinco;1;variante;En Chubut;Flojumar;Electricidad;;;0.367;Faro Marinco 12V dirigible;0.138;PANEL DE CONTROL TECMA THETFORD BEFORE/AFTER;INSERTAR_ADDON;CREAR_CATALOGO
128;OBRA_ESPECIFICA;55-1;Desagues lineales ducha -SOLO BARCO 55-1;2;adicional;Pedido;;;;;0.164;Monocomando ducha FV Libby;0.690;Desagues lineales ducha;INSERTAR_ADDON;CREAR_CATALOGO
