excel_row;clasificacion;obra;descripcion;cantidad;tipo;estado_excel;proveedor;rubro;obs;addon_best_score;addon_best_desc;accion_addon
47;OBRA_ESPECIFICA;55-3;Bowthruster Sleipner side-power 160kh 12V + STERN;1;adicional;Pedido;Trimer;Electricidad;;;;INSERTAR_ADDON
47;OBRA_ESPECIFICA;55-4;Bowthruster Sleipner side-power 160kh 12V + STERN;1;adicional;Pedido;Trimer;Electricidad;;;;INSERTAR_ADDON
59;OPC;55-1;Cable alargue Quick 12 metros;4;opcional;En Chubut;Flojumar;Electricidad;;;;INSERTAR_ADDON
61;OPC;55-1;Cable y derivacion 2 estaciones Quick;2;opcional;En Chubut;Flojumar;Electricidad;;;;INSERTAR_ADDON
76;OBRA_ESPECIFICA;55-2;Canilla de cocina - COLOR NEGRO;1;adicional;Comprar;MercadoLibre;Sanitarios;;0.237;Bacha de cocina negra;INSERTAR_ADDON
84;OBRA_ESPECIFICA;55-1;Cargador Victron Centaur 24v 60A de 3 salidas;1;adicional;En Chubut;;Electricidad;;;;INSERTAR_ADDON
88;VAR;55-1;Cerraduras de puertas BRONZEN (K55);7;adicional;Comprar;;;;;;INSERTAR_ADDON
89;VAR;55-2;Cerraduras de puertas BRONZEN (K55) - OPCIONAL sin vestidor;6;opcional;Comprar;;;;0.188;Bisagras codo 9 - OPCIONAL camarote sin vestidor;INSERTAR_ADDON
109;VAR;55-1;Control con indicador segunda estacion Lenco;1;adicional;En Chubut;Flojumar;Electricidad;;0.148;PANEL DE CONTROL TECMA THETFORD BEFORE/AFTER;INSERTAR_ADDON
110;VAR;55-1;Control faro segunda estacion Marinco;1;adicional;En Chubut;Flojumar;Electricidad;;0.148;PANEL DE CONTROL TECMA THETFORD BEFORE/AFTER;INSERTAR_ADDON
131;OBRA_ESPECIFICA;55-1;Divisor de carga 80A (tiene que tener línea de compensación para el alternador como el Victron Argodiodo 80-2AC);2;adicional;En Chubut;;Electricidad;;;;INSERTAR_ADDON
136;OBRA_ESPECIFICA;55-2;Duchador Mano Piazza Lujo D0105ne + Sop Toma Flex 1.5m Negro;2;adicional;Pedido;MercadoLibre;Sanitarios;;0.397;Duchador de mano NEGRO + Codo pared;INSERTAR_ADDON
150;VAR;55-1;Equipo de audio (elige cliente);1;adicional;Especificar;;;;;;INSERTAR_ADDON
161;OBRA_ESPECIFICA;55-3;Footswich Maxwell con tapa heavy duty grande;2;adicional;Pedido;Trimer;Electricidad;;;;INSERTAR_ADDON
161;OBRA_ESPECIFICA;55-4;Footswich Maxwell con tapa heavy duty grande;2;adicional;Pedido;Trimer;Electricidad;;;;INSERTAR_ADDON
169;OBRA_ESPECIFICA;55-1;HOLDING TANK MATROMARINE ITALIANO 73 LITROS 12V;1;adicional;;Flojumar;Sanitarios;;0.580;HOLDING TANK MATROMARINE ITALIANO 103 LITROS 12V;INSERTAR_ADDON
172;OPC;55-1;Inodoro electrico (Camarote Marinero), modelo??;1;opcional;Especificar;Flojumar;;;;;INSERTAR_ADDON
194;OBRA_ESPECIFICA;55-3;Malacate Maxwell RC10 12V INOX;1;adicional;Pedido;Trimer;Electricidad;;;;INSERTAR_ADDON
194;OBRA_ESPECIFICA;55-4;Malacate Maxwell RC10 12V INOX;1;adicional;Pedido;Trimer;Electricidad;;;;INSERTAR_ADDON
216;OPC;55-2;Picaportes Currao SARDEGNA - ver color;12;opcional;Comprar;;;;;;INSERTAR_ADDON
262;OBRA_ESPECIFICA;55-3;"Sistema FLAP Bennett 24 X 12 "" Doble estacion";1;adicional;Pedido;Trimer;Mecanica;;;;INSERTAR_ADDON
262;OBRA_ESPECIFICA;55-4;"Sistema FLAP Bennett 24 X 12 "" Doble estacion";1;adicional;Pedido;Trimer;Mecanica;;;;INSERTAR_ADDON
263;OBRA_ESPECIFICA;55-1;"Sistema FLAP Lenco 24 x 16 "" Doble piston";1;adicional;En Chubut;Flojumar;Mecanica;;0.282;TV 24;INSERTAR_ADDON
263;OBRA_ESPECIFICA;55-2;"Sistema FLAP Lenco 24 x 16 "" Doble piston";1;adicional;Revisar;Flojumar;Mecanica;;;;INSERTAR_ADDON
264;OBRA_ESPECIFICA;55-1;Solenoide Blue Sea L-Series - 250A 12/24V;1;adicional;Comprar;;Electricidad;;;;INSERTAR_ADDON
