excel_row;clasificacion;obra;descripcion;cantidad;tipo;estado_excel;proveedor;rubro;obs;addon_best_score;addon_best_desc;accion_addon
19;OBRA_ESPECIFICA;55-2;Bacha de cocina negra -SOLO BARCO 55-2;1;adicional;Comprar;;Carpinteria;;0.880;Bacha de cocina negra;YA_EXISTE_ADDON_PROBABLE
20;OBRA_ESPECIFICA;55-1;Bacha en popa con mueble, cual?;1;adicional;Especificar;;Sanitarios;;1.000;BACHA en popa con mueble, cual?;YA_EXISTE_ADDON_PROBABLE
27;OBRA_ESPECIFICA;55-1;Barra de sonido LG sk1d;2;adicional;En Chubut;;Electricidad;;0.880;BARRA DE SONIDO SK1D;YA_EXISTE_ADDON_PROBABLE
33;OBRA_ESPECIFICA;55-1;Bisagra codo 18 + base con clip;2;adicional;En Chubut;;Carpinteria;;0.880;Bisagras codo 18;YA_EXISTE_ADDON_PROBABLE
38;OBRA_ESPECIFICA;55-2;Bisagras codo 9 - OPCIONAL camarote sin vestidor;8;opcional;Comprar;;;;1.000;Bisagras codo 9 - OPCIONAL camarote sin vestidor;YA_EXISTE_ADDON_PROBABLE
38;OBRA_ESPECIFICA;55-3;Bisagras codo 9 - OPCIONAL camarote sin vestidor;8;opcional;Comprar;;;;1.000;Bisagras codo 9 - OPCIONAL camarote sin vestidor;YA_EXISTE_ADDON_PROBABLE
38;OBRA_ESPECIFICA;55-4;Bisagras codo 9 - OPCIONAL camarote sin vestidor;8;opcional;Comprar;;;;1.000;Bisagras codo 9 - OPCIONAL camarote sin vestidor;YA_EXISTE_ADDON_PROBABLE
87;OBRA_ESPECIFICA;55-2;Cava VONDOM T8;2;adicional;Comprar;;Electricidad;;0.880;Cava T8;YA_EXISTE_ADDON_PROBABLE
128;OBRA_ESPECIFICA;55-1;Desagues lineales ducha -SOLO BARCO 55-1;2;adicional;Pedido;;;;0.880;Desagues lineales ducha;YA_EXISTE_ADDON_PROBABLE
134;OBRA_ESPECIFICA;55-2;Duchador de mano NEGRO + Codo pared;2;adicional;Especificar;;;;1.000;Duchador de mano NEGRO + Codo pared;YA_EXISTE_ADDON_PROBABLE
139;OBRA_ESPECIFICA;55-1;ELECTROVALVULA 12V ORIGINAL;2;adicional;;Flojumar;Electricidad;;1.000;ELECTROVALVULA 12V ORIGINAL;YA_EXISTE_ADDON_PROBABLE
152;ADC;55-1;Estabilizador giroscopo;1;adicional;En Chubut;;Electricidad;;1.000;ESTABILIZADOR GIROSCOPO;YA_EXISTE_ADDON_PROBABLE
165;OBRA_ESPECIFICA;55-1;Grill KENION;1;adicional;En Chubut;Flojumar;Electricidad;;0.880;Grill;YA_EXISTE_ADDON_PROBABLE
166;OBRA_ESPECIFICA;55-2;Heladera BOSCH KIN86ADD0;1;adicional;Pedido;;Electricidad;;0.880;Heladera KIN86ADD0;YA_EXISTE_ADDON_PROBABLE
167;OBRA_ESPECIFICA;55-1;Heladera Whirpool WRE25AB PANELABLE - SOLO barco 1;1;adicional;En Chubut;;Electricidad;;0.880;Heladera WRE25AB PANELABLE - SOLO barco 1;YA_EXISTE_ADDON_PROBABLE
168;OBRA_ESPECIFICA;55-1;HOLDING TANK MATROMARINE ITALIANO 103 LITROS 12V;1;adicional;En Chubut;Flojumar;Sanitarios;;1.000;HOLDING TANK MATROMARINE ITALIANO 103 LITROS 12V;YA_EXISTE_ADDON_PROBABLE
177;OBRA_ESPECIFICA;55-2;Juego monocomando para bañera y ducha Epuyén 0106/L2 NEGRO;2;adicional;Comprar;;;;1.000;Juego monocomando para bañera y ducha Epuyén 0106/L2 NEGRO;YA_EXISTE_ADDON_PROBABLE
