Nro,Item solicitado,Resultado,Coincidencia en catálogo,Observación
1,"Tubo para bowthruster Dint 185 mm, largo 1,40 m, espesor 5 mm, resina ignífuga","NO ENCONTRADO","Tubo bowthruster Ø150mm x1mt | Tubo bowthruster D=250mm e=9mm L=1,50m","Los candidatos difieren en diámetro, largo y espesor; no vincular."
2,"Tubo PRFV (tubo bocina) D.int 75 mm, D.ext 92 mm, largo 1 m","MUY SIMILAR","Tubo PRFV Dint=76mm, esp=7mm - tubo bocina","Confirmar si 75/76 mm y el exterior/espesor corresponden al mismo tubo."
3,"Rejilla rectangular aluminio retorno 350 x 100 mm, persiana longitudinal, pestaña 25 mm","NO ENCONTRADO","Rejilla aluminio 14x6 retorno","14x6 equivale aprox. a 356x152 mm; la altura no coincide."
4,"Rejilla rectangular aluminio retorno 240 x 120 mm, persiana longitudinal, pestaña 25 mm","NO ENCONTRADO","","Sin medida equivalente segura."
5,"Rejilla rectangular aluminio retorno 220 x 70 mm, persiana longitudinal, pestaña 25 mm","NO ENCONTRADO","","Sin medida equivalente segura."
6,"Codo 1 pulgada gas M/H bronce","COINCIDENCIA SEGURA","Codo 90° MH bronce 1 pulgada","Misma rosca, configuración y material."
7,"Esférica 1 1/2 pulgadas","COINCIDENCIA SEGURA","Válvula esférica 1 1/2 pulgadas HH","Misma medida; el catálogo explicita HH."
8,"Toma de casco 1 1/2 pulgadas","COINCIDENCIA SEGURA","Toma pasacasco 1 1/2 pulgadas bronce","Mismo producto."
9,"Entrerrosca 1 1/2 pulgadas","NO ENCONTRADO","","El catálogo tiene 1, 3/4, 1/2 y 1/4, pero no 1 1/2."
10,"Racor 1 1/2 pulgadas a espiga 44 mm","NO ENCONTRADO","Racor 1 1/2 pulgadas | Racor 1 1/4 pulgadas espiga 44mm | Racor M bronce 1 1/2 x 38mm","Los candidatos comparten sólo una parte de la especificación."
11,"Codo 1/2 pulgada gas H/H bronce","MUY SIMILAR","CODO HH 1/2","La medida y bocas coinciden, pero el catálogo no confirma bronce ni 90°."
12,"Tapa 1/2 pulgada gas bronce","COINCIDENCIA SEGURA","Tapa bronce 1/2 pulgada","Mismo producto."
13,"Codo 1/2 pulgada gas M/H bronce","COINCIDENCIA SEGURA","Codo 90° MH bronce 1/2 pulgada","Mismo producto."
14,"Tapón 1/4 pulgada gas bronce","COINCIDENCIA SEGURA","Tapón bronce 1/4 pulgada","Mismo producto."
15,"Racor 2 pulgadas a 50 mm bronce","COINCIDENCIA SEGURA","Racor 2 pulgadas espiga 50mm","Misma especificación."
16,"Codo 3/4 pulgada M/H bronce","COINCIDENCIA SEGURA","Codo 90° MH bronce 3/4 pulgada","Mismo producto."
17,"Esférica 1 pulgada","COINCIDENCIA SEGURA","Válvula esférica 1 pulgada HH","Misma medida; el catálogo explicita HH."
18,"Entrerrosca 1 pulgada bronce","COINCIDENCIA SEGURA","Entrerrosca 1 pulgada bronce","Coincidencia literal."
19,"Codo H/H 1/4 pulgada bronce","NO ENCONTRADO","Codo 90° MH bronce 1/4 pulgada","No vincular: H/H y M/H son diferentes."
